source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[biological replicate]	characteristics[enrichment process]	characteristics[sex]	characteristics[individual]	characteristics[strain/breed]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[age]	characteristics[mass]	characteristics[condition]	characteristics[sample type]	assay name	technology type	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[data file]	comment[proteomics data acquisition method]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms1 scan range]	comment[ms2 analyzer type]	comment[ms2 analyzer type]	comment[database]	comment[search engine]	comment[quant file]	comment[sample run]	factor value[condition]
Mock_IP.s1	Mus musculus	brain	not applicable	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	not available	Mock_IP	Organelle-IP	run 11	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.994915;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.021464;AC=UNIMOD:4	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	20 ppm	gs://asap-raw-team-alessi-mouse-ms-p-brain-vps35-d620n-wt/raw/480/20210407_YL_DIA_MouseBrain_Input_WTWT_S1.raw	20210407_YL_DIA_MouseBrain_Input_WTWT_S1.raw	Data-Independent Acquisition	AC=PRIDE:0000609;NT=Tris(2-carboxyethyl)phosphine (TCEP)	AC=PRIDE:0000599;NT=Iodoacetamide (IAA)	375-1500 m/z	AC=MS:1000081;NT=quadrupole	AC=MS:1000484;NT=orbitrap	20211117_Mouse.fasta	DIANN-1.8.1	not available	20210407_YL_DIA_MouseBrain_Input_WTWT_S1.raw	Mock_IP
Mock_IP.s5	Mus musculus	brain	not applicable	not available	not available	2	not available	not available	not available	not available	not available	not available	not available	not available	Mock_IP	Organelle-IP	run 12	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002039	NT=Orbitrap Exploris 480;AC=MS:1003029	1	1	NT=Trypsin;AC=MS:1001252	NT=Lys-C;AC=MS:1001310	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.994915;AC=UNIMOD:36	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.021464;AC=UNIMOD:5	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002482	10 ppm	20 ppm	gs://asap-raw-team-alessi-mouse-ms-p-brain-vps35-d620n-wt/raw/480/20210407_YL_DIA_MouseBrain_Input_WTWT_S5.raw	20210407_YL_DIA_MouseBrain_Input_WTWT_S5.raw	Data-Independent Acquisition	AC=PRIDE:0000609;NT=Tris(2-carboxyethyl)phosphine (TCEP)	AC=PRIDE:0000599;NT=Iodoacetamide (IAA)	375-1500 m/z	AC=MS:1000081;NT=quadrupole	AC=MS:1000484;NT=orbitrap	20211117_Mouse.fasta	DIANN-1.8.1	not available	20210407_YL_DIA_MouseBrain_Input_WTWT_S5.raw	Mock_IP
Mock_IP.s9	Mus musculus	brain	not applicable	not available	not available	3	not available	not available	not available	not available	not available	not available	not available	not available	Mock_IP	Organelle-IP	run 13	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.994915;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.021464;AC=UNIMOD:4	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	20 ppm	gs://asap-raw-team-alessi-mouse-ms-p-brain-vps35-d620n-wt/raw/480/20210407_YL_DIA_MouseBrain_Input_WTWT_S9.raw	20210407_YL_DIA_MouseBrain_Input_WTWT_S9.raw	Data-Independent Acquisition	AC=PRIDE:0000609;NT=Tris(2-carboxyethyl)phosphine (TCEP)	AC=PRIDE:0000599;NT=Iodoacetamide (IAA)	375-1500 m/z	AC=MS:1000081;NT=quadrupole	AC=MS:1000484;NT=orbitrap	20211117_Mouse.fasta	DIANN-1.8.1	not available	20210407_YL_DIA_MouseBrain_Input_WTWT_S9.raw	Mock_IP
Mock_IP.s13	Mus musculus	brain	not applicable	not available	not available	4	not available	not available	not available	not available	not available	not available	not available	not available	Mock_IP	Organelle-IP	run 14	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.994915;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.021464;AC=UNIMOD:4	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	20 ppm	gs://asap-raw-team-alessi-mouse-ms-p-brain-vps35-d620n-wt/raw/480/20210407_YL_DIA_MouseBrain_Input_WTWT_S13.raw	20210407_YL_DIA_MouseBrain_Input_WTWT_S13.raw	Data-Independent Acquisition	AC=PRIDE:0000609;NT=Tris(2-carboxyethyl)phosphine (TCEP)	AC=PRIDE:0000599;NT=Iodoacetamide (IAA)	375-1500 m/z	AC=MS:1000081;NT=quadrupole	AC=MS:1000484;NT=orbitrap	20211117_Mouse.fasta	DIANN-1.8.1	not available	20210407_YL_DIA_MouseBrain_Input_WTWT_S13.raw	Mock_IP
WCL_D620N.s3	Mus musculus	brain	not applicable	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	not available	WCL_D620N	Organelle-IP	run 15	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.994915;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.021464;AC=UNIMOD:4	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	20 ppm	gs://asap-raw-team-alessi-mouse-ms-p-brain-vps35-d620n-wt/raw/480/20210407_YL_DIA_MouseBrain_IP_HomHet_S3.raw	20210407_YL_DIA_MouseBrain_IP_HomHet_S3.raw	Data-Independent Acquisition	AC=PRIDE:0000609;NT=Tris(2-carboxyethyl)phosphine (TCEP)	AC=PRIDE:0000599;NT=Iodoacetamide (IAA)	375-1500 m/z	AC=MS:1000081;NT=quadrupole	AC=MS:1000484;NT=orbitrap	20211117_Mouse.fasta	DIANN-1.8.1	not available	20210407_YL_DIA_MouseBrain_IP_HomHet_S3.raw	WCL_D620N
WCL_D620N.s7	Mus musculus	brain	not applicable	not available	not available	2	not available	not available	not available	not available	not available	not available	not available	not available	WCL_D620N	Organelle-IP	run 16	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.994915;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.021464;AC=UNIMOD:4	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	20 ppm	gs://asap-raw-team-alessi-mouse-ms-p-brain-vps35-d620n-wt/raw/480/20210407_YL_DIA_MouseBrain_IP_HomHet_S7.raw	20210407_YL_DIA_MouseBrain_IP_HomHet_S7.raw	Data-Independent Acquisition	AC=PRIDE:0000609;NT=Tris(2-carboxyethyl)phosphine (TCEP)	AC=PRIDE:0000599;NT=Iodoacetamide (IAA)	375-1500 m/z	AC=MS:1000081;NT=quadrupole	AC=MS:1000484;NT=orbitrap	20211117_Mouse.fasta	DIANN-1.8.1	not available	20210407_YL_DIA_MouseBrain_IP_HomHet_S7.raw	WCL_D620N
WCL_D620N.s11	Mus musculus	brain	not applicable	not available	not available	3	not available	not available	not available	not available	not available	not available	not available	not available	WCL_D620N	Organelle-IP	run 17	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.994915;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.021464;AC=UNIMOD:4	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	20 ppm	gs://asap-raw-team-alessi-mouse-ms-p-brain-vps35-d620n-wt/raw/480/20210407_YL_DIA_MouseBrain_IP_HomHet_S11.raw	20210407_YL_DIA_MouseBrain_IP_HomHet_S11.raw	Data-Independent Acquisition	AC=PRIDE:0000609;NT=Tris(2-carboxyethyl)phosphine (TCEP)	AC=PRIDE:0000599;NT=Iodoacetamide (IAA)	375-1500 m/z	AC=MS:1000081;NT=quadrupole	AC=MS:1000484;NT=orbitrap	20211117_Mouse.fasta	DIANN-1.8.1	not available	20210407_YL_DIA_MouseBrain_IP_HomHet_S11.raw	WCL_D620N
WCL_D620N.s15	Mus musculus	brain	not applicable	not available	not available	4	not available	not available	not available	not available	not available	not available	not available	not available	WCL_D620N	Organelle-IP	run 18	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.994915;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.021464;AC=UNIMOD:4	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	20 ppm	gs://asap-raw-team-alessi-mouse-ms-p-brain-vps35-d620n-wt/raw/480/20210407_YL_DIA_MouseBrain_IP_HomHet_S15.raw	20210407_YL_DIA_MouseBrain_IP_HomHet_S15.raw	Data-Independent Acquisition	AC=PRIDE:0000609;NT=Tris(2-carboxyethyl)phosphine (TCEP)	AC=PRIDE:0000599;NT=Iodoacetamide (IAA)	375-1500 m/z	AC=MS:1000081;NT=quadrupole	AC=MS:1000484;NT=orbitrap	20211117_Mouse.fasta	DIANN-1.8.1	not available	20210407_YL_DIA_MouseBrain_IP_HomHet_S15.raw	WCL_D620N
WCL_D620N.s16	Mus musculus	brain	not applicable	not available	not available	5	not available	not available	not available	not available	not available	not available	not available	not available	WCL_D620N	Organelle-IP	run 19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.994915;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.021464;AC=UNIMOD:4	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	20 ppm	gs://asap-raw-team-alessi-mouse-ms-p-brain-vps35-d620n-wt/raw/480/20210407_YL_DIA_MouseBrain_IP_HomHet_S16.raw	20210407_YL_DIA_MouseBrain_IP_HomHet_S16.raw	Data-Independent Acquisition	AC=PRIDE:0000609;NT=Tris(2-carboxyethyl)phosphine (TCEP)	AC=PRIDE:0000599;NT=Iodoacetamide (IAA)	375-1500 m/z	AC=MS:1000081;NT=quadrupole	AC=MS:1000484;NT=orbitrap	20211117_Mouse.fasta	DIANN-1.8.1	not available	20210407_YL_DIA_MouseBrain_IP_HomHet_S16.raw	WCL_D620N
WCL_WT.s2	Mus musculus	brain	not applicable	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	not available	WCL_WT	Organelle-IP	run 20	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002040	NT=Orbitrap Exploris 480;AC=MS:1003030	1	1	NT=Trypsin;AC=MS:1001253	NT=Lys-C;AC=MS:1001311	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.994915;AC=UNIMOD:37	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.021464;AC=UNIMOD:6	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002483	10 ppm	20 ppm	gs://asap-raw-team-alessi-mouse-ms-p-brain-vps35-d620n-wt/raw/480/20210407_YL_DIA_MouseBrain_IP_WTHet_S2.raw	20210407_YL_DIA_MouseBrain_IP_WTHet_S2.raw	Data-Independent Acquisition	AC=PRIDE:0000609;NT=Tris(2-carboxyethyl)phosphine (TCEP)	AC=PRIDE:0000599;NT=Iodoacetamide (IAA)	375-1500 m/z	AC=MS:1000081;NT=quadrupole	AC=MS:1000484;NT=orbitrap	20211117_Mouse.fasta	DIANN-1.8.1	not available	20210407_YL_DIA_MouseBrain_IP_WTHet_S2.raw	WCL_WT
